gsmc,gzdd,gxsj,zwmc,zwyx
宽带帮(北京)科技有限公司,北京,12-17,U3D开发工程师,12000-18000
迈锐数据(北京)有限公司,北京,12-17,嵌入式软件工程师,10000-20000
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,15000~25000活跃的IT团队【web前端工程师】,20001-30000
山东渤聚通云计算有限公司,烟台,12-17,JAVA程序员,6000-10000
烟台华莱数据技术有限公司,烟台,12-17,云平台架构师,10001-15000
烟台华莱数据技术有限公司,烟台,12-17,GIS地理信息开发工程师,4001-6000
山东铂明网络科技有限公司,烟台 - 莱山区,12-17,.net 软件工程师,3000-6000
山东奥泽康生物科技有限公司,烟台 - 芝罘区,12-17,数据库工程师,20001-30000
烟台思途软件科技有限公司,烟台,12-17,办公室IT文员+5险1金,3000-5000
烟台达内软件科技有限公司,烟台,12-17,软件开发实习生,4001-6000
北京触角科技有限公司,北京,12-17,AR/VR虚拟仿真软件U3D开发工程师,8000-15000
北京鼎亚科技有限公司,北京,12-17,Web页面制作工程师/前端工程师，3年，望京,10001-15000
北京欣润科技有限公司,北京,12-17,U3D工程师,10001-15000
北京北清远帆信息技术有限公司,北京,12-17,JAVA讲师,8001-10000
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,Java高级开发工程师/15-30K,20001-30000
烟台思途软件科技有限公司,烟台,12-17,0基础手机游戏开发实习生,2001-4000
烟台思途软件科技有限公司,烟台,12-17,文理科实习生IT+双休,2001-4000
烟台思途软件科技有限公司,烟台,12-17,诚聘软件部办公室设计助理,2001-4000
烟台思途软件科技有限公司,烟台,12-17,java实习3200+,2001-4000
烟台思途软件科技有限公司,烟台,12-17,网页开发实习生3k到5K,2001-4000
北京众和永业科技发展有限公司,北京 - 海淀区,12-17,系统集成售前工程师,8000-15000
青岛烈焰畅游网络技术有限公司北京分公司,北京 - 海淀区,12-17,系统策划,8000-12000
北京市翰林视点投资顾问有限公司,北京 - 丰台区,12-17,Java软件工程师定岗实习生,6001-8000
北京市翰林视点投资顾问有限公司,北京 - 海淀区,12-17,高薪招聘Java+大数据实习,6001-8000
北京神州视翰科技股份有限公司,北京 - 海淀区,12-17,美工,4000-5000
青岛烈焰畅游网络技术有限公司北京分公司,北京 - 海淀区,12-17,执行策划,4001-6000
烟台思途软件科技有限公司,烟台,12-17,网页设计可应届3000,2001-4000
烟台康宸网络科技有限公司,烟台,12-17,java后台开发,6000-10000
烟台康宸网络科技有限公司,烟台,12-17,H5前端开发工程师,3000-6000
烟台思途软件科技有限公司,烟台,12-17,php开发工程师3200+,4001-6000
青岛达内职业培训学校,烟台,12-17,IOS安卓开发助理,4001-6000
北京神州视翰科技股份有限公司,北京 - 海淀区,12-17,C++高级软件开发工程师,10000-15000
北京云集智造科技有限公司,北京 - 朝阳区,12-17,高级c/c++开发工程师,15000-30000
北京鼎亚科技有限公司,北京,12-17,DIV+CSS切图制作Html前端工程师，浏览器兼容性，望京,10001-15000
北京乐铺网络科技有限公司,北京,12-17,PHP研发工程师,15001-20000
北京云集智造科技有限公司,北京,12-17,高级Python后端研发工程师,15000-30000
北京艾恩游科技有限责任公司,北京 - 昌平区,12-17,java游戏开发,15000-25000
北京必果互动网络技术有限公司,北京,12-17,中高级U3D开发工程师-画江湖SLG手游项目组,15000-25000
烟台绿晟商贸有限公司,烟台 - 芝罘区,12-17,PHP工程师,6001-8000
山东海文信息技术有限公司烟台分公司,烟台,12-17,WEB/HTML5前端开发工程师,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-17,售后技术支持,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-17,APP客户端设计可实习,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-17,JAVA,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-17,聘Java定岗实习生（应届生 理工科优先）+五险一金,2001-4000
北京华科博创科技有限公司,北京 - 海淀区,12-17,软件开发工程师,8000-12000
北方互动科技（北京）有限公司,北京,12-17,PHP工程师/PHP高级工程师/PHP程序员/PHP高级程序员,8000-16000
北京易特思维信息技术有限公司,北京,12-17,Android开发高级工程师,10001-15000
微软(中国)有限公司,北京,12-17,UX Designer II,20001-30000
北京鼎亚科技有限公司,北京,12-17,PHP开发工程师--工作地点：望京，B2B网站方向,10001-15000
北京福六投资管理有限公司,北京,12-17,月薪10000-15000元聘交易员操盘手 对金融感兴趣者优先（可兼职）,10001-15000
山东海文信息技术有限公司烟台分公司,烟台,12-17,大数据实习工程师（应届）,2001-4000
山东海文信息技术有限公司烟台分公司,烟台,12-17,安卓及嵌入式软件开发学徒五险一金,2001-4000
山东海文信息技术有限公司烟台分公司,烟台,12-17,高薪聘IT文员待遇优厚,4001-6000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,Java软件开发实训生,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-17,安卓实习生（应届）,2001-4000
北京峰云互娱网络技术有限公司,北京,12-17,COCOS2D-X 主程,30000-60000
北京峰云互娱网络技术有限公司,北京,12-17,Cocos2d-x开发工程师,16000-32000
北京美科艺数码科技发展有限公司,北京 - 海淀区,12-17,嵌入式工程师(ARM/DSP),10001-15000
北京美科艺数码科技发展有限公司,北京 - 海淀区,12-17,C++软件工程师,10001-15000
北京峰云互娱网络技术有限公司,北京,12-17,U3D,20000-40000
山东海文信息技术有限公司烟台分公司,烟台,12-17,直招软件开发实习生,4001-6000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,Android/安卓开发实训生,4001-6000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,UI讲师,6001-8000
山东海文信息技术有限公司烟台分公司,烟台,12-17,UI实训生,4001-6000
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,JAVA高级研发工程师/18k-25k/二本/三年及以上经验,20001-30000
北京峰云互娱网络技术有限公司,北京,12-17,C++服务器,30000-60000
北京峰云互娱网络技术有限公司,北京,12-17,C++高级研发,20000-40000
北京万维美联信息科技有限公司,北京,12-17,研发工程师,8001-10000
山东海文信息技术有限公司烟台分公司,烟台,12-17,大数据实习工程师（应届）,2001-4000
山东海文信息技术有限公司烟台分公司,烟台,12-17,APP客户端设计可实习,4001-6000
烟台思途软件科技有限公司,烟台,12-17,计算机编程（技术开发),4001-6000
烟台思途软件科技有限公司,烟台,12-17,办公室IT文员+5险1金,3000-5000
山东海文信息技术有限公司烟台分公司,烟台,12-17,诚聘UI设计师助理（可无经验）五险一金+住宿,4001-6000
北京佩克赛斯商贸有限公司,北京,12-17,APP后台工程师,6000-12000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,IT项目应届实习生助理,4001-6000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,网站美化助理+5险1金,2001-4000
北京佩克赛斯商贸有限公司,北京,12-17,APP前端工程师,6000-12000
北京易特思维信息技术有限公司,北京,12-17,移动产品设计师,10001-15000
济南智卓软件有限公司,烟台,12-17,Java开发工程师+双休+五险一金,6001-8000
云唯+,烟台,12-17,国企8k大数据开发工程师（免费”零基础”岗前培训）,8001-10000
北京欧陆聚信科技有限公司,北京,12-17,JAVA开发工程师,5000-8000
北大青鸟环宇消防设备股份有限公司,北京,12-17,C++软件设计工程师,8001-10000
烟台康宸网络科技有限公司,烟台,12-17,UI设计师,3000-5000
山东鼎信网络科技有限公司,烟台,12-17,JAVA中级软件工程师,4001-6000
北大青鸟环宇消防设备股份有限公司,北京,12-17,C++开发工程师,8001-10000
酷伴科技(北京)有限责任公司,北京,12-17,webgl工程师,10000-20000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,3800平面设计实习生,4001-6000
烟台思途软件科技有限公司,烟台,12-17,UI美工实习生3000+,2001-4000
酷伴科技(北京)有限责任公司,北京,12-17,CAE前后处理软件GID的二次开发工程师,15000-25000
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,web前端工程师、15-18k、行业领先技术研发团队,15001-20000
青岛汇众鼎视文化科技有限公司,烟台,12-17,大唐网络H5前端开发助理实习生,3500-5000
烟台思途软件科技有限公司,烟台,12-17,手机APP设计+双休,2001-4000
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,JAVA高级研发工程师/18k-25k/二本/三年及以上经验,18000-25000
酷伴科技(北京)有限责任公司,北京,12-17,JAVA高级软件工程师,20001-30000
烟台思途软件科技有限公司,烟台,12-17,APP客户端设计3000,3000-5000
山东鼎信网络科技有限公司,烟台,12-17,.NET高级软件工程师,6001-8000
亚网速信网络科技发展有限公司北京分公司,北京 - 海淀区,12-17,Java架构师,16000-20000
亚网速信网络科技发展有限公司北京分公司,北京 - 海淀区,12-17,Java高级工程师,15001-20000
烟台思途软件科技有限公司,烟台,12-17,APP客户端设计可实习,2001-4000
北京斯通恩科技有限公司,北京 - 朝阳区,12-17,嵌入式工程师,6001-8000
中国—东盟信息港股份有限公司,北京,12-17,前端工程师,15000-25000
烟台思途软件科技有限公司,烟台,12-17,软件开发实习生3K到5K,2001-4000
烟台思途软件科技有限公司,烟台,12-17,项目开发助理+5险1金,4001-6000
中国—东盟信息港股份有限公司,北京,12-17,JAVA研发工程师,15000-25000
中国—东盟信息港股份有限公司,北京,12-17,C/C++研发工程师,15000-25000
山东海文信息技术有限公司烟台分公司,烟台,12-17,诚聘淘宝美工 /平面设计学徒低要求+双休+五险一金,2001-4000
山东致和国强网络科技有限公司,烟台,12-17,软件开发助理,4001-6000
中国—东盟信息港股份有限公司,北京,12-17,DBA工程师,15000-25000
中国—东盟信息港股份有限公司,北京,12-17,系统架构师,16000-32000
烟台思途软件科技有限公司,烟台,12-17,手机端（软件实习生）双休,3000-5000
山东海文信息技术有限公司烟台分公司,烟台,12-17,平面设计UI实习生/学徒,2001-4000
中国—东盟信息港股份有限公司,北京,12-17,App研发工程师（Android),8000-14000
中国—东盟信息港股份有限公司,北京,12-17,UI设计工程师,1500-2500
山东海文信息技术有限公司烟台分公司,烟台,12-17,美工+双休可学徒,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-17,平面设计师,4001-6000
北京鼎才杰仁信息咨询有限公司济南分公司,北京 - 朝阳区,12-17,IOS&安卓研发工程师,25000-50000
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,★18K~25K★java工程师三年经验¤活跃的IT团队¤,20001-30000
竞技世界(北京)网络技术有限公司,北京,12-17,UI设计师（2017校招）(000911),4000-4500
北京鼎才杰仁信息咨询有限公司济南分公司,北京 - 朝阳区,12-17,高级前端开发工程师,25000-50000
烟台焱华信息技术有限公司,烟台 - 芝罘区,12-17,java软件工程师,面议
烟台思途软件科技有限公司,烟台,12-17,诚聘设计助理+双休,2001-4000
烟台思途软件科技有限公司,烟台,12-17,游戏界面设计助理,2001-4000
山东致和国强网络科技有限公司,烟台,12-17,办公室网络专员三千起双休,2001-4000
北京必果互动网络技术有限公司,北京,12-17,C++服务器开发工程师,15000-25000
北京必果互动网络技术有限公司,北京,12-17,数值策划,10000-20000
北京鼎才杰仁信息咨询有限公司济南分公司,北京 - 朝阳区,12-17,高级Java工程师,30000-60000
会小二,北京,12-17,中级PHP工程师,15001-20000
烟台向上行软件技术有限公司,烟台,12-17,​8K诚聘Android软件工程师,4000-8000
烟台博智信息科技有限公司,烟台 - 开发区,12-17,软件工程师,6001-8000
烟台焱华信息技术有限公司,烟台,12-17,python开发工程师,6001-8000
北京联创美景建筑装饰工程有限公司,北京,12-17,网络总监,70001-100000
北京福六投资管理有限公司,北京,12-17,月薪15000+提成 交易员操盘手 （五险一金+可在家办公）,10000-20000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,Java开发实习生,4001-6000
青岛达内职业培训学校,烟台,12-17,游戏策划招开发测试实习生,3000-5000
烟台焱华信息技术有限公司,烟台 - 芝罘区,12-17,web前端软件工程师,面议
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,■行业内活跃的IT团队■18000-25000■3年JAVA开发工程师,20001-30000
深圳前海优品优居网络科技有限公司,北京,12-17,php高级工程师,18000-20000
深圳前海优品优居网络科技有限公司,北京,12-17,web前端工程师,13000-15000
烟台焱华信息技术有限公司,烟台 - 芝罘区,12-17,美工,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-17,UI设计助理+双休,4001-6000
烟台星辉劳斯堡液压机械有限公司,烟台 - 开发区,12-17,系统架构师,10001-15000
北京华宇互联科技有限公司济南分公司,烟台,12-17,2016年高薪招聘软件开发实习生,6001-8000
北京锐融天下科技股份有限公司,北京,12-17,java开发工程师（七险一金）,10001-15000
宽带帮(北京)科技有限公司,北京,12-17,JAVA工程师,12000-20000
中安永恒(北京)工程技术有限公司,北京,12-17,JS开发工程师,10001-15000
山东致和国强网络科技有限公司,烟台,12-17,计算机助理+双休5险+奖金,2001-4000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,游戏开发实习生,4001-6000
北京易诚互动网络技术有限公司,烟台 - 芝罘区,12-17,需求工程师（烟台）,8000-11000
中安永恒(北京)工程技术有限公司,北京,12-17,C#.NET开发工程师,10001-15000
北京匠派网络科技有限公司,北京,12-17,高级角色原画设计师-武侠MMORPG,10000-20000
北京视连通科技有限公司,北京 - 昌平区,12-17,软件架构师/项目管理,20001-30000
北京康迪光电子股份有限公司,北京,12-17,VC++软件工程师,4001-6000
深圳市玖富超能金融服务有限公司,烟台,12-17,Java开发工程师,6001-8000
山东嘉航电子信息技术有限公司,烟台,12-17,Linux软件工程师,6001-8000
烟台博智信息科技有限公司,烟台 - 开发区,12-17,JAVA工程师,6001-8000
烟台向上行软件技术有限公司,烟台,12-17,软件开发工程师,4001-6000
宽带帮(北京)科技有限公司,北京,12-17,C++服务端工程师,20000-30000
联想集团有限公司,北京,12-17,Java服务器端资深开发工程师,面议
联想集团有限公司,北京,12-17,支付系统资深研发工程师,面议
北京康迪光电子股份有限公司,北京 - 昌平区,12-17,嵌入式软件工程师,4000-20000
烟台向上行软件技术有限公司,烟台,12-17,web前端开发工程师,4001-6000
山东嘉航电子信息技术有限公司,烟台,12-17,数据库开发工程师,6001-8000
山东渤聚通云计算有限公司,烟台,12-17,实施工程师,面议
山东渤聚通云计算有限公司,烟台 - 开发区,12-17,软件工程师,6001-8000
联想集团有限公司,北京,12-17,电商前端高级开发工程师,面议
联想集团有限公司,北京,12-17,电商系统架构高级经理,面议
联想集团有限公司,北京,12-17,用户画像Dashboard高级研发经理,面议
联想集团有限公司,北京,12-17,联想电脑管家资深软件架构师,面议
烟台帕特仑电子有限公司,烟台,12-17,公司内部网络管理员,3500-4500
烟台焱华信息技术有限公司,烟台,12-17,PHP软件工程师,4001-6000
滕商投资有限公司,烟台,12-17,java开发工程师,6001-8000
联想集团有限公司,北京,12-17,Java资深架构师,面议
北京信雅乐达科技有限责任公司,北京,12-17,JAVA高级研发工程师,10000-20000
烟台网亿网络科技有限公司,烟台,12-17,高薪急聘php工程师,6001-8000
烟台秀普诗化妆品有限公司,烟台,12-17,PHP开发工程师,6001-8000
烟台羿中医疗科技有限公司,烟台,12-17,软件工程师/QT,6001-8000
胶东在线网站,烟台 - 芝罘区,12-17,技术研发,4001-6000
北京视连通科技有限公司,北京 - 昌平区,12-17,架构师,20001-30000
北京视连通科技有限公司,北京 - 昌平区,12-17,ios开发工程师,10001-15000
北京视连通科技有限公司,北京 - 昌平区,12-17,机器学习研发工程师,20001-30000
北京视连通科技有限公司,北京 - 昌平区,12-17,深度学习算法工程师,20001-30000
润斯顿中关村软件人才中心,烟台,12-17,网络管理员 系统维护 Linux运维工程师定岗生,6001-8000
润斯顿中关村软件人才中心,烟台,12-17,Linux运维 网络管理 系统维护工程师定岗实习生,6001-8000
伯乐易才(北京)管理咨询有限公司,北京,12-17,Java高级开发工程师（系统架构）,20000-25000
北京商佳科技有限公司,北京,12-17,h5前端开发工程师,10001-15000
中金云金融(北京)大数据科技股份有限公司,北京,12-17,java大数据处理工程师（实习生）,2001-4000
中金云金融(北京)大数据科技股份有限公司,北京,12-17,大数据平台及应用开发工程师（java）,10001-15000
中金云金融(北京)大数据科技股份有限公司,北京,12-17,大数据平台架构师（java）,15001-20000
烟台网亿网络科技有限公司,烟台,12-17,高薪急聘php工程师,6001-8000
烟台羿中医疗科技有限公司,烟台,12-17,软件工程师/QT,6001-8000
滕商投资有限公司,烟台,12-17,java开发工程师,6001-8000
山东海文信息技术有限公司烟台分公司,烟台,12-17,Oracle数据库认证专家(OCP)/数据库讲师,4001-6000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-17,办公室IT文员+3K双休,4001-6000
润斯顿中关村软件人才中心,烟台,12-17,Linux运维 网络管理 系统维护工程师定岗实习生,6001-8000
烟台振华电气有限公司,烟台,12-17,软件工程师,6001-8000
烟台欧能电子科技有限公司,烟台 - 开发区,12-17,自动化工程师,面议
山东友信交通工程有限公司,烟台 - 开发区,12-17,软件工程师,4001-6000
烟台思途软件科技有限公司,烟台,12-17,数据库综合管理员双休,4001-6000
山东嘉航电子信息技术有限公司,烟台,12-17,嵌入式开发工程师,6001-8000
山东玲珑轮胎股份有限公司,烟台,12-17,软件开发工程师,面议
烟台海涛网络科技有限公司,烟台,12-16,前端开发工程师,4001-6000
烟台海涛网络科技有限公司,烟台,12-16,Java高级软件开发工程师,6000-12000
烟台海涛网络科技有限公司,烟台,12-16,Java软件开发工程师,4000-8000
山东摩西网络科技有限公司,烟台,12-16,WEB前端开发工程师,4001-6000
山东摩西网络科技有限公司,烟台 - 高新区,12-16,前端开发工程师,4001-6000
润斯顿中关村软件人才中心,烟台,12-16,网络管理员 系统维护 Linux运维工程师定岗生,6001-8000
烟台大境生态环境科技股份有限公司,烟台 - 莱山区,12-16,嵌入式开发工程师,4001-6000
烟台易尚电子科技有限公司,烟台,12-16,Matlab通信算法仿真工程师,6001-8000
烟台易尚电子科技有限公司,烟台,12-16,软件工程师,4001-6000
烟台易尚电子科技有限公司,烟台,12-16,雷达信号处理算法工程师,6001-8000
烟台华科软件有限公司,烟台 - 莱山区,12-16,程序员,3000-5000
烟台华科软件有限公司,烟台 - 莱山区,12-16,JAVA软件工程师,4001-6000
烟台海风网络工程有限公司,烟台 - 开发区,12-16,Java 软件开发工程师,8001-10000
烟台海风网络工程有限公司,烟台 - 开发区,12-16,.net 软件开发工程师,8001-10000
山东国风风电设备有限公司,烟台 - 高新区,12-16,java开发工程师,2001-4000
烟台航天信息有限公司,烟台,12-16,软件开发工程师,4001-6000
烟台开发区金天元数码科技有限公司,烟台 - 开发区,12-16,弱电方案工程师,4001-6000
烟台思途软件科技有限公司,烟台,12-16,高薪聘PHP开发（可实习）,4001-6000
北京蚁视科技有限公司,北京,12-17,全景拼接工程师,10001-15000
烟台思途软件科技有限公司,烟台,12-16,计算机学徒3K+5险1金,2001-4000
山东三迪时空三维科技有限公司,烟台,12-16,PHP前端,4001-6000
烟台喜纳里网络科技有限公司,烟台,12-16,高薪急聘游戏开发人员,5000-10000
北京匠派网络科技有限公司,北京,12-17,MMORPG手游UI/界面设计师,10000-20000
北京蚁视科技有限公司,北京,12-17,视频开发工程师,8000-15000
北京中科赢萨科技有限公司,北京,12-17,高新诚聘计算机软件开发,8001-10000
烟台喜纳里网络科技有限公司,烟台,12-16,cocos2dx游戏开发工程师,10000-20000
山东海文信息技术有限公司烟台分公司,烟台,12-16,界面设计师 可实习,4001-6000
山东海文信息技术有限公司烟台分公司,烟台,12-16,软件开发实习生,2001-4000
北京鼎亚科技有限公司,北京,12-17,北京-朝阳区望京项目组急招UI,10001-15000
北京中科赢萨科技有限公司,北京,12-17,高薪诚聘java实习生3000-5000,4001-6000
山东海格尔信息技术股份有限公司,烟台,12-16,Java高级研发工程师,8000-12000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-16,软件开发助理+奖金+五险,4001-6000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-16,PHP讲师/助理+待遇优,3000-5000
北京鼎亚科技有限公司,北京,12-17,北京-望京项目组高薪诚聘高级Java外包工程师,10001-15000
北醒(北京)光子科技有限公司,北京,12-17,C++软件应用工程师,10001-15000
北醒(北京)光子科技有限公司,北京,12-17,光学工程师,10001-15000
北醒(北京)光子科技有限公司,北京,12-17,自动测试系统工程师,8001-10000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-16,手机APP开发助理可学徒,4001-6000
烟台佳创网络技术有限公司,烟台 - 莱山区,12-16,PHP程序员,5000-8000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-16,实习生/学徒,2000-3000
烟台世纪经纬教育科技有限公司,烟台,12-16,Android软件工程师,6001-8000
北醒(北京)光子科技有限公司,北京,12-17,算法工程师,15001-20000
北京豌豆派教育科技有限责任公司,北京 - 海淀区,12-17,Unity3D高级开发工程师,12000-18000
北京联祥瑞科技有限公司,北京,12-17,.net高级开发工程师,10000-20000
北京联祥瑞科技有限公司,北京,12-17,.net软件工程师,8001-10000
烟台达内软件科技有限公司,烟台,12-16,双休游戏设计助理/学徒,4001-6000
烟台东方威思顿电气股份有限公司,烟台 - 芝罘区,12-16,系统集成项目经理,4000-8000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-16,机械专业应届生,2001-4000
烟台牧哲信息技术有限公司,烟台,12-16,项目开发助理,2001-4000
北京小牛飞腾科技有限公司,北京 - 朝阳区,12-17,.net 研发工程师,10001-15000
北京天拓数信科技有限责任公司,北京,12-17,测试工程师,8001-10000
北京匠派网络科技有限公司,北京,12-17,游戏特效设计师,10000-20000
北京匠派网络科技有限公司,北京,12-17,Unity场景地编设计师,10000-20000
烟台达内软件科技有限公司,烟台 - 芝罘区,12-16,企业急聘IOS项目经理，项目助理,6001-8000
山东海文信息技术有限公司烟台分公司,烟台,12-16,网页设计3000+双休,4001-6000
上海凯泉泵业（集团）有限公司烟台办事处,烟台 - 芝罘区,12-16,软件开发实习生,2001-4000
北京匠派网络科技有限公司,北京,12-17,u3d开发工程师,13000-25000
北京电商讯通科技发展有限公司,北京,12-17,软件开发工程师,6000-12000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-16,UI美工讲师助理,2001-4000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-16,设计助理+五险+项目提成,2001-4000
烟台思途软件科技有限公司,烟台,12-16,游戏开发助理+双休,2001-4000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-16,IT外企文员助理+双休,4001-6000
北京盛科天冠软件技术有限公司,北京 - 海淀区,12-17,C++ 开发工程师,10001-15000
北京盛科天冠软件技术有限公司,北京,12-17,java开发工程师,10001-15000
北京盛科天冠软件技术有限公司,北京,12-17,java工程师（三年以上经验，懂前端技术）,10001-15000
北京用乐科技有限公司,北京,12-17,IOS工程师,10001-15000
山东海文信息技术有限公司烟台分公司,烟台 - 芝罘区,12-16,java应届生实训,2001-4000
烟台鼎端教育咨询有限公司,烟台 - 莱山区,12-16,平面设计UI实习生/学徒,3000-5000
烟台市锐易电子技术有限公司,烟台 - 芝罘区,12-16,java高级项目经理,6001-8000
山东海格尔信息技术股份有限公司,烟台,12-16,JAVA开发工程师,3000-4000
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,JAVA高级研发工程师/18k-25k/二本/四年及以上经验,1000元以下
北京丽兹行房地产顾问有限公司,北京 - 朝阳区,12-17,【Web前端工程师15K~25K】3年经验/活跃的IT团队，暖心的氛围,20001-30000
达内时代科技集团有限公司,北京,12-17,PHP讲师,15001-20000
